0,Settle_ED1,Settle_ED2,Settle_ED3,Settle_ED4,Settle_ED5,Settle_ED6,Settle_ED7,Settle_ED8,Settle_ED9
2004-01-02,1.2848351648351615,1.5618131868131906,1.958131868131867,2.4030769230769167,2.8156593406593355,3.203979591836731,3.521868131868132,3.822857142857148,
2004-01-05,1.2851098901098885,1.5543406593406557,1.9539010989011034,2.4053846153846195,2.829010989010984,3.2154081632653018,3.5361538461538427,3.832857142857148,
2004-01-06,1.260054945054948,1.4892307692307705,1.8284615384615381,2.2427472527472525,2.66076923076923,3.055000000000003,3.379450549450547,3.676666666666663,
2004-01-07,1.257307692307689,1.4888461538461586,1.8317032967032976,2.2411538461538516,2.6529120879120915,3.0363265306122393,3.350989010989009,3.6405952380952415,
2004-01-08,1.2595604395604363,1.492362637362642,1.836098901098902,2.2444505494505527,2.65362637362637,3.0397959183673415,3.3551098901098877,3.6485714285714272,
2004-01-09,1.1990659340659344,1.3456593406593396,1.6199450549450605,1.997637362637367,2.4031318681318687,2.791938775510203,3.1203296703296712,3.4226785714285684,
2004-01-12,1.1964285714285776,1.346428571428577,1.6318131868131924,2.00961538461539,2.4101648351648377,2.791428571428567,3.1142307692307702,3.4091666666666667,
2004-01-13,1.1881868131868094,1.3217582417582396,1.5861538461538498,1.9492857142857174,2.338076923076924,2.713571428571423,3.032527472527469,3.3270833333333356,
2004-01-14,1.19076923076923,1.3338461538461575,1.6099450549450545,1.9702747252747226,2.3508791208791187,2.7220918367346982,3.0395604395604434,3.3271428571428623,
2004-01-15,1.1982417582417564,1.3596703296703307,1.6486813186813196,2.024560439560439,2.41686813186813,2.7890816326530645,3.10016483516484,3.376964285714286,
2004-01-16,1.1995604395604376,1.3640659340659338,1.6610439560439543,2.045659340659344,2.442967032967035,2.819132653061222,3.1360439560439595,3.4211904761904717,
2004-01-20,1.2048351648351632,1.3790109890109903,1.6873076923076957,2.0732417582417613,2.470769230769229,2.8467857142857147,3.1706043956043977,3.460714285714284,
2004-01-21,1.2061538461538446,1.380000000000003,1.6824175824175884,2.0606043956043996,2.449285714285716,2.81540816326531,3.1405494505494542,3.4317261904761893,
2004-01-22,1.1995604395604396,1.3490109890109918,1.623241758241759,1.9878571428571459,2.3756043956043973,2.7421428571428543,3.0621978021978,3.3495238095238142,
2004-01-23,1.2087912087912072,1.3796153846153876,1.6753296703296758,2.058571428571434,2.4570329670329696,2.825714285714287,3.149010989010991,3.446249999999996,
2004-01-26,1.217142857142858,1.4086813186813232,1.7289560439560463,2.12653846153846,2.536978021978019,2.9197959183673494,3.25423076923077,3.549999999999995,
2004-01-27,1.2140659340659328,1.3858791208791217,1.6765384615384595,2.0563736263736216,2.4592307692307704,2.838571428571431,3.174615384615381,3.4729166666666638,
2004-01-28,1.2653846153846167,1.5057692307692288,1.8566483516483514,2.2680769230769218,2.6740109890109913,3.0451530612244926,3.378076923076922,3.6713095238095215,
2004-01-29,1.2771428571428562,1.5288461538461482,1.8932417582417567,2.3126923076923127,2.7208241758241822,3.093877551020413,3.4265384615384624,3.7167857142857157,
2004-01-30,1.2670329670329703,1.5002197802197828,1.8478021978021992,2.2648351648351603,2.6777472527472526,3.0503061224489842,3.3778571428571484,3.6645238095238115,
2004-02-02,1.2635164835164865,1.5047802197802196,1.8533516483516497,2.2634615384615406,2.664175824175823,3.04122448979592,3.3753846153846183,3.6652976190476205,
2004-02-03,1.2400549450549423,1.4600549450549458,1.7919230769230803,2.1847802197802184,2.5786263736263693,2.9525000000000006,3.283846153846158,3.575714285714286,
2004-02-04,1.241758241758239,1.4630769230769238,1.7960439560439594,2.189175824175823,2.5830769230769186,2.956224489795919,3.2873076923076963,3.5839285714285745,
2004-02-05,1.2696153846153875,1.5225824175824174,1.8813736263736287,2.2949999999999995,2.6975274725274674,3.0673469387755055,3.3932967032966994,3.6896428571428594,
2004-02-06,1.242417582417582,1.4529120879120876,1.7707142857142832,2.163791208791204,2.561978021978016,2.9363265306122424,3.2717582417582447,3.5698809523809594,
2004-02-09,1.244450549450552,1.453351648351655,1.7695604395604403,2.1561538461538463,2.5443956043956044,2.9070408163265284,3.237307692307694,3.530833333333333,
2004-02-10,1.2579120879120882,1.491208791208789,1.8276923076923048,2.2268131868131835,2.621758241758241,2.982857142857146,3.3025824175824186,3.5887500000000006,
2004-02-11,1.208461538461537,1.391538461538464,1.6960989010989043,2.076758241758242,2.4661538461538486,2.8322959183673486,3.164340659340663,3.4597619047619115,
2004-02-12,1.209615384615383,1.3971978021978018,1.7080769230769188,2.0910989010989014,2.4836813186813234,2.853979591836734,3.1878571428571427,3.485892857142857,
2004-02-13,1.1995054945054944,1.3720329670329687,1.6639560439560457,2.0338461538461585,2.423131868131866,2.7927551020408123,3.1205494505494498,3.4139285714285683,
2004-02-17,1.2030219780219793,1.3814835164835182,1.6784615384615402,2.0472527472527453,2.4393406593406537,2.807857142857139,3.137307692307689,3.4345238095238084,
2004-02-18,1.2031318681318695,1.3838461538461557,1.6820879120879138,2.0514285714285694,2.443846153846148,2.8116326530612206,3.1439560439560466,3.442619047619046,
2004-02-19,1.2042307692307703,1.386208791208793,1.6857142857142873,2.051978021978023,2.4363186813186863,2.8004081632653066,3.1324725274725296,3.4271428571428584,
2004-02-20,1.223802197802203,1.4278571428571476,1.7488461538461544,2.1210989010989,2.5057142857142884,2.8725510204081677,3.2026923076923106,3.4915476190476213,
2004-02-23,1.2080989010988996,1.3956593406593427,1.7002197802197818,2.0723076923076897,2.4589010989010998,2.8240306122449,3.160000000000004,3.450476190476196,
